ip_from,ip_to,country_code,country,region,city,latitude,longitude,zip_code,time_zone,isp,domain,net_speed,idd_code,area_code,weather_station_code,weather_station_name,mcc,mnc,mobile_brand,elevation,ip_from_inet,ip_to_inet,ip_count,cidr,insert_ts
16777216,16777471,US,United States of America,California,San Jose,37.33939,-121.89496,95101,-07:00,APNIC and CloudFlare DNS Resolver Project,cloudflare.com,T1,1,408/650,USCA0993,San Jose,-,-,-,24,1.0.0.0,1.0.0.255,256,{1.0.0.0/24},2023-01-08
16777472,16778239,CN,China,Fujian,Fuzhou,26.06139,119.30611,350004,+08:00,ChinaNet Fujian Province Network,chinatelecom.com.cn,DSL,86,0591,CHXX0031,Fuzhou,460,03/11,China Telecom,4,1.0.1.0,1.0.3.255,768,"{1.0.1.0/24,1.0.2.0/23}",2023-02-19
16778240,16778495,AU,Australia,Tasmania,Glebe,-42.874638,147.32806,7000,+10:00,GTelecom Pty Ltd,gtelecom.com.au,DSL,61,03,ASXX0057,Hobart,-,-,-,47,1.0.4.0,1.0.4.255,256,{1.0.4.0/24},2023-01-05
16778496,16779263,AU,Australia,Victoria,Melbourne,-37.814007,144.96317,3000,+10:00,GTelecom Pty Ltd,gtelecom.com.au,DSL,61,03,ASXX0075,Melbourne,-,-,-,13,1.0.5.0,1.0.7.255,768,"{1.0.5.0/24,1.0.6.0/23}",2023-02-10
16779264,16781311,CN,China,Guangdong,Guangzhou,23.127361,113.26457,510140,+08:00,ChinaNet Guangdong Province Network,chinatelecom.com.cn,DSL,86,020,CHXX0037,Guangzhou,460,03/11,China Telecom,11,1.0.8.0,1.0.15.255,2048,{1.0.8.0/21},2023-01-28
16781312,16785407,JP,Japan,Tokyo,Tokyo,35.6895,139.69232,160-0021,+09:00,I2TS Inc.,i2ts.com,T1,81,042,JAXX0085,Tokyo,-,-,-,37,1.0.16.0,1.0.31.255,4096,{1.0.16.0/20},2023-01-15
16785408,16793599,CN,China,Guangdong,Guangzhou,23.127361,113.26457,510140,+08:00,ChinaNet Guangdong Province Network,chinatelecom.com.cn,DSL,86,020,CHXX0037,Guangzhou,460,03/11,China Telecom,11,1.0.32.0,1.0.63.255,8192,{1.0.32.0/19},2023-01-09
16793600,16794623,JP,Japan,Hiroshima,Hiroshima,34.385868,132.45543,732-0057,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,082,JAXX0018,Hiroshima,-,-,-,13,1.0.64.0,1.0.67.255,1024,{1.0.64.0/22},2023-01-27
16794624,16794879,JP,Japan,Miyagi,Sendai,38.26699,140.86713,980-0802,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,022,JAXX0104,Sendai,-,-,-,55,1.0.68.0,1.0.68.255,256,{1.0.68.0/24},2023-02-09
16794880,16795647,JP,Japan,Hiroshima,Hiroshima,34.385868,132.45543,732-0057,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,082,JAXX0018,Hiroshima,-,-,-,13,1.0.69.0,1.0.71.255,768,"{1.0.69.0/24,1.0.70.0/23}",2023-02-05
16795648,16795903,JP,Japan,Hiroshima,Niho,34.36994,132.49396,736-0014,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,082,JAXX0018,Hiroshima,-,-,-,46,1.0.72.0,1.0.72.255,256,{1.0.72.0/24},2023-01-18
16795904,16797695,JP,Japan,Hiroshima,Hiroshima,34.385868,132.45543,732-0057,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,082,JAXX0018,Hiroshima,-,-,-,13,1.0.73.0,1.0.79.255,1792,"{1.0.73.0/24,1.0.74.0/23,1.0.76.0/22}",2023-01-31
16797696,16797951,JP,Japan,Shimane,Izumo,35.367,132.767,693-0044,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,085,JAXX0018,Hiroshima,-,-,-,8,1.0.80.0,1.0.80.255,256,{1.0.80.0/24},2023-02-09
16797952,16798207,JP,Japan,Yamaguchi,Yamaguchi,34.183,131.467,754-0893,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,083,JAXX0096,Yamaguchi,-,-,-,129,1.0.81.0,1.0.81.255,256,{1.0.81.0/24},2023-02-22
16798208,16798463,JP,Japan,Shimane,Matsue,35.467,133.05,690-0015,+09:00,Enecom Inc.,megaegg.ne.jp,DSL,81,085,JAXX0044,Kurashiki,-,-,-,1,1.0.82.0,1.0.82.255,256,{1.0.82.0/24},2023-01-05
